Year,School,Conf,Wins,Losses,Win Pct,Conf Wins,Conf Losses,Conf Win Pct,Off PPG,Def PPG,SRS,SOS,AP Pre,AP High,AP Rank,Football Total Operating Expenses
2019,San Diego State,MWC,10,3,0.769,5,3,0.625,21.2,12.7,1.69,-5.85,,24,,"$16,899,563"
2020,San Diego State,MWC,4,4,0.5,4,2,0.667,24.6,17.8,0.43,-4.82,,,,"$11,029,428"
2021,San Diego State,MWC,12,2,0.857,7,1,0.875,27.4,19.8,6.38,-2.48,,19,25,"$18,452,448"
2022,San Diego State,MWC,7,6,0.538,5,3,0.625,21.5,20.5,-3.36,-4.36,,,,"$20,142,240"
2017,San Jose State,MWC,2,11,0.154,1,7,0.125,15.8,41.7,-18.4,-2.32,,,,"$9,538,124"
2018,San Jose State,MWC,1,11,0.083,1,7,0.125,21.3,36.6,-12.93,-0.68,,,,"$9,791,910"
2019,San Jose State,MWC,5,7,0.417,2,6,0.25,30.1,31.9,-6.08,-3.83,,,,"$10,287,260"
2020,San Jose State,MWC,7,1,0.875,6,0,1,28.6,19.9,7.05,-1.71,,19,24,"$10,988,493"
2021,San Jose State,MWC,5,7,0.417,3,5,0.375,20,26.5,-9.11,-3.19,,,,"$9,314,611"
2022,San Jose State,MWC,7,5,0.583,5,3,0.625,27.4,22,-3.92,-8.26,,,,"$10,883,256"
2017,South Alabama,Sun Belt,4,8,0.333,3,5,0.375,19.8,26.5,-11.71,-6.46,,,,"$10,325,814"
2018,South Alabama,Sun Belt,3,9,0.25,2,6,0.25,24.2,38.8,-13.56,-2.39,,,,"$10,549,047"
2019,South Alabama,Sun Belt,2,10,0.167,1,7,0.125,18.4,30.7,-12.28,-1.44,,,,"$8,746,725"
2020,South Alabama,Sun Belt,4,7,0.364,3,5,0.375,19.9,27.3,-9.83,-3.64,,,,"$11,842,985"
2021,South Alabama,Sun Belt,5,7,0.417,2,6,0.25,24.9,26.4,-6.56,-6.06,,,,"$13,046,697"
2022,South Alabama,Sun Belt,10,3,0.769,7,1,0.875,31.2,21.3,2.46,-5.46,,,,"$15,067,509"
2017,South Carolina,SEC,9,4,0.692,5,3,0.625,24.2,20.7,7.77,3.85,,,,"$33,317,644"
2018,South Carolina,SEC,7,6,0.538,4,4,0.5,30.1,27.2,7.34,5.88,,24,,"$36,606,779"
2019,South Carolina,SEC,4,8,0.333,3,5,0.375,22.4,26.1,1.34,7.34,,,,"$34,170,806"
2020,South Carolina,SEC,2,8,0.2,2,8,0.2,23.5,36,-3.38,7.42,,,,"$43,854,572"
2021,South Carolina,SEC,7,6,0.538,3,5,0.375,22.6,24,2.08,3.31,,,,"$37,272,775"
2022,South Carolina,SEC,8,5,0.615,4,4,0.5,32.2,28.8,7.71,4.17,,20,23,"$42,855,531"
2017,South Florida,American,10,2,0.833,6,2,0.75,38.3,23.5,7.27,-5.56,19,16,21,"$13,334,070"
2018,South Florida,American,7,6,0.538,3,5,0.375,28.5,32,-6.28,-3.74,,21,,"$16,696,552"
2019,South Florida,American,4,8,0.333,2,6,0.25,20.8,28.9,-3.26,2.16,,,,"$19,748,125"
2020,South Florida,American,1,8,0.111,0,7,0,23.1,39.9,-14.39,-1.28,,,,"$15,474,757"
