Year,School,Conf,Wins,Losses,Win Pct,Conf Wins,Conf Losses,Conf Win Pct,Off PPG,Def PPG,SRS,SOS,AP Pre,AP High,AP Rank,Football Total Operating Expenses
2017,Air Force,MWC,5,7,0.417,4,4,0.5,31.4,32.4,-4.77,-1.02,,,,"$9,856,121"
2018,Air Force,MWC,5,7,0.417,3,5,0.375,30.3,25.8,-1.72,-3.8,,,,"$9,798,847"
2019,Air Force,MWC,11,2,0.846,7,1,0.875,34.1,19.8,10.47,-2.22,,22,22,"$10,973,009"
2022,Air Force,MWC,10,3,0.769,5,3,0.625,27.8,13.4,4.13,-7.41,,,,"$11,422,176"
2017,Akron,MAC,7,7,0.5,6,2,0.75,22.1,28,-4.82,-1.96,,,,"$12,102,221"
2018,Akron,MAC,4,8,0.333,2,6,0.25,18.9,27.2,-11.66,-3.33,,,,"$12,994,552"
2019,Akron,MAC,0,12,0,0,8,0,10.5,36.3,-26.64,-7.06,,,,"$7,523,215"
2020,Akron,MAC,1,5,0.167,1,5,0.167,17.2,41.3,-8.82,5.52,,,,"$5,385,395"
2021,Akron,MAC,2,10,0.167,1,7,0.125,19.8,39.5,-16.82,-4.41,,,,"$6,437,759"
2022,Akron,MAC,2,10,0.167,1,7,0.125,21.8,33.5,-13.49,-5.16,,,,"$7,896,714"
2017,Alabama,SEC,13,1,0.929,7,1,0.875,37.1,11.9,21.25,5.46,1,1,1,"$62,944,471"
2018,Alabama,SEC,14,1,0.933,8,0,1,45.6,18.1,25.29,6.63,1,1,2,"$69,718,057"
2019,Alabama,SEC,11,2,0.846,6,2,0.75,47.2,18.6,21.11,2.81,2,1,8,"$58,508,851"
2020,Alabama,SEC,13,0,1,10,0,1,48.5,19.4,30.26,9.72,3,1,1,"$59,515,883"
2021,Alabama,SEC,13,2,0.867,7,1,0.875,39.9,20.1,19.62,5.69,1,1,2,"$78,521,050"
2022,Alabama,SEC,11,2,0.846,6,2,0.75,41.1,18.2,19.66,4.58,1,1,5,"$83,333,815"
2017,Appalachian State,Sun Belt,9,4,0.692,7,1,0.875,33.5,20.2,0.59,-7.72,,,,"$9,257,326"
2018,Appalachian State,Sun Belt,11,2,0.846,7,1,0.875,37.3,15.5,9.76,-4.78,,25,,"$9,753,118"
2019,Appalachian State,Sun Belt,13,1,0.929,7,1,0.875,38.8,20,11.49,-3.8,,19,19,"$9,738,225"
2020,Appalachian State,Sun Belt,9,3,0.75,6,2,0.75,33.8,20,5.47,-5.95,,23,,"$9,785,359"
2021,Appalachian State,Sun Belt,10,4,0.714,7,1,0.875,34.5,22.1,7.28,-2.43,,,,"$11,995,591"
2022,Appalachian State,Sun Belt,6,6,0.5,3,5,0.375,34.9,26.8,0.63,-3.71,,,,"$13,616,432"
2017,Arizona,Pac-12,7,6,0.538,5,4,0.556,41.3,34.4,3.17,-0.98,,23,,"$32,500,874"
2018,Arizona,Pac-12,5,7,0.417,4,5,0.444,31.3,32.6,-0.57,0.76,,,,"$22,568,496"
2019,Arizona,Pac-12,4,8,0.333,2,7,0.222,26.9,35.8,-4.25,3.17,,,,"$22,116,726"
2020,Arizona,Pac-12,0,5,0,0,5,0,17.4,39.8,-14.08,1.12,,,,"$25,867,931"
2021,Arizona,Pac-12,1,11,0.083,1,8,0.111,17.2,31.4,-12.4,1.44,,,,"$26,564,749"
2022,Arizona,Pac-12,5,7,0.417,3,6,0.333,30.8,36.5,-1.58,3.01,,,,"$37,652,706"
2017,Arizona State,Pac-12,7,6,0.538,6,3,0.667,31.8,32.8,3.8,3.72,,,,"$52,816,903"
2018,Arizona State,Pac-12,7,6,0.538,5,4,0.556,29.9,25.5,5.37,1.67,,23,,"$31,977,970"
2019,Arizona State,Pac-12,8,5,0.615,4,5,0.444,24.8,22.4,4.72,2.34,,17,,"$40,701,748"
2020,Arizona State,Pac-12,2,2,0.5,2,2,0.5,40.3,23.3,1.75,-4,,,,"$26,093,543"
2021,Arizona State,Pac-12,8,5,0.615,6,3,0.667,28.4,20.8,6.49,-0.74,25,18,,"$39,264,216"
2022,Arizona State,Pac-12,3,9,0.25,2,7,0.222,26.1,31.4,-5.06,2.2,,,,"$47,449,451"
2017,Arkansas,SEC,4,8,0.333,1,7,0.125,28.8,36.2,-2.45,4.3,,,,"$44,633,636"
2018,Arkansas,SEC,2,10,0.167,0,8,0,21.7,34.8,-4.63,4.96,,,,"$43,162,670"
2019,Arkansas,SEC,2,10,0.167,0,8,0,21.4,36.8,-6.58,4.84,,,,"$43,552,585"
2020,Arkansas,SEC,3,7,0.3,3,7,0.3,25.7,34.9,3.99,11.39,,,,"$34,383,743"
2021,Arkansas,SEC,9,4,0.692,4,4,0.5,30.9,22.9,11.54,4.62,,8,21,"$46,994,950"
2022,Arkansas,SEC,7,6,0.538,3,5,0.375,32.5,30.6,5.95,5.1,19,10,,"$53,940,684"
2017,Arkansas State,Sun Belt,7,5,0.583,6,2,0.75,37.8,25.8,-2.42,-9.92,,,,"$20,884,373"
2018,Arkansas State,Sun Belt,8,5,0.615,5,3,0.625,30.3,25.6,0.92,-4.69,,,,"$13,800,313"
2019,Arkansas State,Sun Belt,8,5,0.615,5,3,0.625,33.7,34.2,-1.78,-3.93,,,,"$12,431,457"
2021,Arkansas State,Sun Belt,2,10,0.167,1,7,0.125,25.3,38.6,-14.3,-3.97,,,,"$13,458,901"
2022,Arkansas State,Sun Belt,3,9,0.25,1,7,0.125,25,31.4,-10.77,-2.52,,,,"$13,276,879"
2020,Army,Ind,9,3,0.75,,,,26.8,14.8,0.67,-7.59,,22,,"$14,588,362"
2022,Army,Ind,6,6,0.5,,,,28.6,22.5,-0.62,-4.62,,,,"$16,987,378"
2017,Auburn,SEC,10,4,0.714,7,1,0.875,33.9,18.5,17.95,6.38,12,4,10,"$44,380,720"
2018,Auburn,SEC,8,5,0.615,3,5,0.375,30.9,19.2,10.76,5.6,9,7,,"$47,846,261"
2019,Auburn,SEC,9,4,0.692,5,3,0.625,33.2,19.5,16.26,7.72,16,7,14,"$45,953,518"
2020,Auburn,SEC,6,5,0.545,6,4,0.6,25.1,24.7,9.61,9.52,11,7,,"$51,651,240"
2021,Auburn,SEC,6,7,0.462,3,5,0.375,28.3,21.8,6.66,5.73,,12,,"$52,254,829"
2022,Auburn,SEC,5,7,0.417,2,6,0.25,24.8,29.5,3.9,7.4,,,,"$71,107,903"
2017,Ball State,MAC,2,10,0.167,0,8,0,17.9,40.7,-19.27,-5.52,,,,"$7,426,787"
2018,Ball State,MAC,4,8,0.333,3,5,0.375,24.2,32.4,-10.49,-4.08,,,,"$7,028,857"
2019,Ball State,MAC,5,7,0.417,4,4,0.5,34.8,31.4,-3.51,-4.43,,,,"$7,203,254"
2020,Ball State,MAC,7,1,0.875,5,1,0.833,34.3,25.8,18.41,8.91,,23,23,"$5,997,965"
2021,Ball State,MAC,6,7,0.462,4,4,0.5,24.1,28.4,-5.56,-2.56,,,,"$8,341,965"
2022,Ball State,MAC,5,7,0.417,3,5,0.375,23.3,26.9,-7.58,-5.5,,,,"$8,779,641"
2017,Boise State,MWC,11,3,0.786,7,1,0.875,32.5,22.9,8.67,-0.48,,22,22,"$18,123,036"
2018,Boise State,MWC,10,3,0.769,7,1,0.875,35.4,22.1,8.69,-0.46,22,17,23,"$19,525,349"
2019,Boise State,MWC,12,2,0.857,8,0,1,34.7,21.9,8.94,-2.28,,14,23,"$19,166,222"
2020,Boise State,MWC,5,2,0.714,5,0,1,33.9,27.1,3.41,-3.02,,21,,"$14,765,240"
2021,Boise State,MWC,7,5,0.583,5,3,0.625,29.2,19,8.85,2.02,,,,"$18,442,286"
2022,Boise State,MWC,10,4,0.714,8,0,1,29.5,19.5,3.54,-4.82,,,,"$21,475,842"
2017,Bowling Green,MAC,2,10,0.167,2,6,0.25,25.3,38,-13.11,-2.36,,,,"$6,887,242"
2018,Bowling Green,MAC,3,9,0.25,2,6,0.25,24.3,40,-15.11,-4.11,,,,"$7,750,186"
2019,Bowling Green,MAC,3,9,0.25,2,6,0.25,16,38.6,-16.08,-3.66,,,,"$7,229,070"
2020,Bowling Green,MAC,0,5,0,0,5,0,11.4,45,-17.51,6.49,,,,"$5,251,594"
2021,Bowling Green,MAC,4,8,0.333,2,6,0.25,21.4,30.7,-12,-4.83,,,,"$6,969,203"
2022,Bowling Green,MAC,6,7,0.462,5,3,0.625,23.5,32.5,-10.99,-4.6,,,,"$9,832,039"
2017,Buffalo,MAC,6,6,0.5,4,4,0.5,28.5,24.8,-2.92,-5.34,,,,"$8,738,891"
2018,Buffalo,MAC,10,4,0.714,7,1,0.875,34.6,25.9,1.57,-5.29,,,,"$9,724,778"
2019,Buffalo,MAC,8,5,0.615,5,3,0.625,31.5,21.3,1.44,-6.49,,,,"$10,392,890"
2020,Buffalo,MAC,6,1,0.857,5,0,1,43.4,21.9,17.73,1.73,,23,25,"$10,095,438"
2021,Buffalo,MAC,4,8,0.333,2,6,0.25,29.3,29.9,-9.41,-5.58,,,,"$10,806,655"
2022,Buffalo,MAC,7,6,0.538,5,3,0.625,28.5,26.7,-5.74,-7.28,,,,"$12,213,905"
2017,California,Pac-12,5,7,0.417,2,7,0.222,27.8,28.4,-0.16,1.76,,,,"$39,569,523"
2018,California,Pac-12,7,6,0.538,4,5,0.444,21.5,20.4,1.67,0.67,,24,,"$36,251,313"
2019,California,Pac-12,8,5,0.615,4,5,0.444,21.2,21.9,3.39,2.69,,15,,"$31,223,684"
2020,California,Pac-12,1,3,0.25,1,3,0.25,20.3,26.5,-10.11,-2.36,,,,"$24,188,678"
2021,California,Pac-12,5,7,0.417,4,5,0.444,23.8,22.3,-1.32,-2.07,,,,"$34,014,921"
2022,California,Pac-12,4,8,0.333,2,7,0.222,23.9,27.8,-1.08,2.5,,,,"$37,967,279"
2017,Central Michigan,MAC,8,5,0.615,6,2,0.75,28.5,27.5,-5.03,-4.8,,,,"$7,751,331"
2018,Central Michigan,MAC,1,11,0.083,0,8,0,15,27.3,-15.76,-4.18,,,,"$8,727,158"
2019,Central Michigan,MAC,8,6,0.571,6,2,0.75,30.4,28.3,-2.98,-6.41,,,,"$8,952,840"
2020,Central Michigan,MAC,3,3,0.5,3,3,0.5,31.3,30.2,8.26,8.26,,,,"$6,453,776"
2021,Central Michigan,MAC,9,4,0.692,6,2,0.75,32.3,25.8,1.35,-4.57,,,,"$11,936,564"
2022,Central Michigan,MAC,4,8,0.333,3,5,0.375,24.8,28.2,-10.66,-5.16,,,,"$10,996,154"
2017,Charlotte,CUSA,1,11,0.083,1,7,0.125,14.2,32.8,-20.25,-6,,,,"$11,541,778"
2018,Charlotte,CUSA,5,7,0.417,4,4,0.5,21.7,26.6,-7.33,-4.24,,,,"$11,776,955"
2019,Charlotte,CUSA,7,6,0.538,5,3,0.625,29.8,32.4,-6.88,-5.41,,,,"$12,994,491"
2020,Charlotte,CUSA,2,4,0.333,2,2,0.5,27,32.5,-14.41,-9.41,,,,"$11,317,565"
2021,Charlotte,CUSA,5,7,0.417,3,5,0.375,27.2,34,-11.35,-5.93,,,,"$12,091,036"
2022,Charlotte,CUSA,3,9,0.25,2,6,0.25,24.4,39.4,-16.23,-5.81,,,,"$14,852,413"
2017,Cincinnati,American,4,8,0.333,2,6,0.25,20.9,31.8,-9.59,-0.76,,,,"$13,859,952"
2018,Cincinnati,American,11,2,0.846,6,2,0.75,34.9,17.2,7.15,-3.93,,19,24,"$14,989,709"
2019,Cincinnati,American,11,3,0.786,7,1,0.875,29.6,20.6,10.87,2.51,,17,21,"$15,410,440"
2020,Cincinnati,American,9,1,0.9,6,0,1,37.5,16.8,14.92,-1.28,20,6,8,"$16,006,560"
2021,Cincinnati,American,13,1,0.929,8,0,1,36.9,16.9,15.34,0.2,8,2,4,"$23,524,235"
2022,Cincinnati,American,9,4,0.692,6,2,0.75,29.2,20.6,5.85,-1,23,20,,"$24,835,992"
2017,Clemson,ACC,12,2,0.857,7,1,0.875,33.3,13.6,20.62,6.84,5,1,4,"$46,283,756"
2018,Clemson,ACC,15,0,1,8,0,1,44.3,13.1,26.45,5.19,2,1,1,"$55,734,030"
2019,Clemson,ACC,14,1,0.933,8,0,1,43.9,13.5,21.04,2.7,1,1,2,"$55,990,849"
2020,Clemson,ACC,10,2,0.833,8,1,0.889,43.5,20.2,16.82,1.07,1,1,3,"$47,981,806"
2021,Clemson,ACC,10,3,0.769,6,2,0.75,26.3,14.8,11.43,2.66,3,3,14,"$54,915,721"
2022,Clemson,ACC,11,3,0.786,8,0,1,33.2,20.9,13.59,3.3,4,4,13,"$66,770,955"
2017,Coastal Carolina,Sun Belt,3,9,0.25,2,6,0.25,23.7,34,-17.2,-8.78,,,,"$10,825,417"
2018,Coastal Carolina,Sun Belt,5,7,0.417,2,6,0.25,26.7,33.2,-9.17,-3.25,,,,"$11,566,016"
2019,Coastal Carolina,Sun Belt,5,7,0.417,2,6,0.25,30.3,30.5,-7.02,-6.02,,,,"$12,310,489"
2020,Coastal Carolina,Sun Belt,11,1,0.917,8,0,1,37.2,20.3,10.9,-2.86,,9,14,"$13,685,788"
2021,Coastal Carolina,Sun Belt,11,2,0.846,6,2,0.75,40.9,21.6,3.98,-8.94,22,14,,"$18,324,176"
2022,Coastal Carolina,Sun Belt,9,4,0.692,6,2,0.75,29.1,31.8,-3.12,-2.66,,23,,"$17,632,946"
2017,Colorado,Pac-12,5,7,0.417,2,7,0.222,26.4,28.2,-2.61,-0.36,,,,"$22,082,240"
2018,Colorado,Pac-12,5,7,0.417,2,7,0.222,27.1,27.3,-1.17,0.08,,19,,"$29,642,881"
2019,Colorado,Pac-12,5,7,0.417,3,6,0.333,23.5,31.8,-0.02,5.07,,,,"$22,703,444"
2020,Colorado,Pac-12,4,2,0.667,3,1,0.75,28.5,31.7,-1.66,-0.66,,21,,"$17,520,552"
2021,Colorado,Pac-12,4,8,0.333,3,6,0.333,18.8,26.7,-6.6,1.65,,,,"$25,533,983"
2022,Colorado,Pac-12,1,11,0.083,1,8,0.111,15.4,44.5,-12.08,7.92,,,,"$34,988,626"
2017,Colorado State,MWC,7,6,0.538,5,3,0.625,33.4,27.8,-0.87,-4.95,,,,"$21,696,560"
2018,Colorado State,MWC,3,9,0.25,2,6,0.25,22.8,36.8,-12.74,-2.49,,,,"$25,082,903"
2019,Colorado State,MWC,4,8,0.333,3,5,0.375,28.1,31.2,-6.84,-3.59,,,,"$26,626,424"
2020,Colorado State,MWC,1,3,0.25,1,3,0.25,22.3,35.8,-14.31,-2.56,,,,"$25,895,035"
2021,Colorado State,MWC,3,9,0.25,2,6,0.25,23.7,28.3,-6.57,-2.16,,,,"$30,924,749"
2022,Colorado State,MWC,3,9,0.25,3,5,0.375,13.2,26.9,-14.63,-4.8,,,,"$29,782,795"
2017,Connecticut,American,3,9,0.25,2,6,0.25,23.6,37.9,-12.29,-0.12,,,,"$15,766,540"
2018,Connecticut,American,1,11,0.083,0,8,0,22.2,50.4,-18.99,-1.32,,,,"$16,613,697"
2019,Connecticut,American,2,10,0.167,0,8,0,18.9,40.5,-14.83,-1.33,,,,"$17,193,907"
2020,Connecticut,Ind,0,0,,,,,,,,,,,,"$10,064,486"
2021,Connecticut,Ind,1,11,0.083,,,,15.6,38.5,-19.18,-2.59,,,,"$18,443,327"
2022,Connecticut,Ind,6,7,0.462,,,,19.4,26.2,-5.78,-3.09,,,,"$20,070,343"
2017,East Carolina,American,3,9,0.25,2,6,0.25,24.9,45,-12.37,-0.04,,,,"$11,409,995"
2018,East Carolina,American,3,9,0.25,1,7,0.125,22.8,37.3,-11.08,-2.41,,,,"$15,044,661"
2019,East Carolina,American,4,8,0.333,1,7,0.125,26.8,33.7,-9.85,-2.85,,,,"$12,533,974"
2020,East Carolina,American,3,6,0.333,3,5,0.375,30.2,35.4,-6.43,-1.98,,,,"$10,244,488"
2021,East Carolina,American,7,5,0.583,5,3,0.625,29.7,26.3,1.92,-0.83,,,,"$15,564,784"
2022,East Carolina,American,8,5,0.615,4,4,0.5,32.5,27.2,4.41,-0.82,,,,"$17,991,796"
2017,Eastern Michigan,MAC,5,7,0.417,3,5,0.375,26.1,23.3,-4.09,-4.76,,,,"$8,456,462"
2018,Eastern Michigan,MAC,7,6,0.538,5,3,0.625,27,22.1,-1.16,-4.85,,,,"$8,712,630"
2019,Eastern Michigan,MAC,6,7,0.462,3,5,0.375,29.2,30.6,-7.5,-5.81,,,,"$8,456,325"
2020,Eastern Michigan,MAC,2,4,0.333,2,4,0.333,33.2,36,5.8,9.13,,,,"$6,752,693"
2021,Eastern Michigan,MAC,7,6,0.538,4,4,0.5,30.2,30,-3.88,-4.8,,,,"$10,066,357"
2022,Eastern Michigan,MAC,9,4,0.692,5,3,0.625,29.8,28.5,-6.78,-8.78,,,,"$10,976,782"
2017,FAU,CUSA,11,3,0.786,8,0,1,40.6,22.7,8.01,-4.78,,,,"$10,813,136"
2018,FAU,CUSA,5,7,0.417,3,5,0.375,31.1,31.8,-2.73,-2.15,,,,"$10,506,252"
2019,FAU,CUSA,11,3,0.786,7,1,0.875,36.4,22.7,8.28,-2.43,,,,"$11,026,847"
2020,FAU,CUSA,5,4,0.556,4,2,0.667,18.9,17.4,-7.91,-10.02,,,,"$8,017,146"
2021,FAU,CUSA,5,7,0.417,3,5,0.375,25.4,25.8,-5.74,-3.9,,,,"$13,549,419"
2022,FAU,CUSA,5,7,0.417,4,4,0.5,29.8,26.6,-6.44,-5.86,,,,"$15,116,327"
2017,FIU,CUSA,8,5,0.615,5,3,0.625,25.6,28.5,-6.75,-6.36,,,,"$13,792,571"
2018,FIU,CUSA,9,4,0.692,6,2,0.75,34.6,25.2,-0.53,-7.15,,,,"$14,993,021"
2019,FIU,CUSA,6,7,0.462,3,5,0.375,26.5,27.2,-8.19,-6.96,,,,"$14,390,494"
2020,FIU,CUSA,0,5,0,0,3,0,22.4,32.4,-22.18,-10.38,,,,"$11,408,356"
2021,FIU,CUSA,1,11,0.083,0,8,0,20.3,39.7,-19.86,-4.86,,,,"$9,887,723"
2022,FIU,CUSA,4,8,0.333,2,6,0.25,18.7,37.3,-17.44,-7.44,,,,"$11,363,820"
2017,Florida,SEC,4,7,0.364,3,5,0.375,22.1,27.3,0.83,5.37,17,17,,"$47,767,368"
2018,Florida,SEC,10,3,0.769,5,3,0.625,35,20,13.66,4.04,,7,7,"$39,499,666"
2019,Florida,SEC,11,2,0.846,6,2,0.75,33.2,15.5,15.22,2.91,8,6,6,"$37,611,099"
2020,Florida,SEC,8,4,0.667,8,2,0.8,39.8,30.8,16.85,8.02,8,3,13,"$29,789,919"
2021,Florida,SEC,6,7,0.462,2,6,0.25,30.7,26.8,4.37,2.14,13,10,,"$61,244,174"
2022,Florida,SEC,6,7,0.462,3,5,0.375,29.5,28.8,6.92,7,,12,,"$46,453,763"
2017,Florida State,ACC,7,6,0.538,3,5,0.375,27.8,21.2,8.07,5.76,3,3,,"$57,509,044"
2018,Florida State,ACC,5,7,0.417,3,5,0.375,21.9,31.5,-1.67,4.92,19,19,,"$47,472,432"
2019,Florida State,ACC,6,7,0.462,4,4,0.5,27.9,27.8,1.78,2.32,,,,"$67,663,922"
2020,Florida State,ACC,3,6,0.333,2,6,0.25,25.8,36,-8.87,-1.54,,,,"$36,751,494"
2021,Florida State,ACC,5,7,0.417,4,4,0.5,27.6,26.5,0.64,2.22,,,,"$54,558,109"
2022,Florida State,ACC,10,3,0.769,5,3,0.625,36.1,20.6,14.77,3.38,,11,11,"$75,646,762"
2017,Fresno State,MWC,10,4,0.714,7,1,0.875,27.1,17.9,4.47,-1.68,,25,,"$18,070,018"
2018,Fresno State,MWC,12,2,0.857,7,1,0.875,34.6,14.1,12.32,-3.04,,16,18,"$16,803,337"
2019,Fresno State,MWC,4,8,0.333,2,6,0.25,30,30.1,-4.53,-3.12,,,,"$14,816,314"
2020,Fresno State,MWC,3,3,0.5,3,3,0.5,32.8,30,-8.9,-11.74,,,,"$9,738,867"
2021,Fresno State,MWC,10,3,0.769,6,2,0.75,33.4,20.5,4.88,-3.89,,18,,"$14,838,598"
2022,Fresno State,MWC,10,4,0.714,7,1,0.875,30.6,19.4,4.48,-3.94,,24,24,"$16,874,669"
2017,Georgia,SEC,13,2,0.867,7,1,0.875,35.4,16.4,22.47,7.01,15,2,2,"$44,909,546"
2018,Georgia,SEC,11,3,0.786,7,1,0.875,37.9,19.2,20.69,6.33,3,2,7,"$49,207,807"
2019,Georgia,SEC,12,2,0.857,7,1,0.875,30.8,12.6,17.64,5.21,3,3,4,"$48,501,193"
2020,Georgia,SEC,8,2,0.8,7,2,0.778,32.3,20,19.33,8.53,4,3,7,"$36,192,952"
2021,Georgia,SEC,14,1,0.933,8,0,1,38.6,10.2,24.62,5.62,5,1,1,"$61,722,123"
2022,Georgia,SEC,15,0,1,8,0,1,41.1,14.3,25.48,6.28,3,1,1,"$69,069,745"
2017,Georgia Southern,Sun Belt,2,10,0.167,2,6,0.25,20.8,32.2,-16.83,-5.58,,,,"$6,699,265"
2018,Georgia Southern,Sun Belt,10,3,0.769,6,2,0.75,30.5,21.5,3.8,-5.05,,,,"$8,994,069"
2019,Georgia Southern,Sun Belt,7,6,0.538,5,3,0.625,28.2,28.2,-0.07,-1.61,,,,"$8,966,676"
2020,Georgia Southern,Sun Belt,8,5,0.615,4,4,0.5,27.2,20.8,-1.8,-6.18,,,,"$7,787,679"
2021,Georgia Southern,Sun Belt,3,9,0.25,2,6,0.25,20.3,31.4,-12.01,-2.34,,,,"$9,387,255"
2022,Georgia Southern,Sun Belt,6,7,0.462,3,5,0.375,32.7,31.6,-4.07,-3.14,,,,"$10,575,189"
2017,Georgia State,Sun Belt,7,5,0.583,5,3,0.625,20.3,24.8,-10.66,-9.25,,,,"$7,897,383"
2018,Georgia State,Sun Belt,2,10,0.167,1,7,0.125,23.9,37.4,-14.41,-2.41,,,,"$8,162,775"
2019,Georgia State,Sun Belt,7,6,0.538,4,4,0.5,31.2,36.2,-6.61,-3.84,,,,"$8,893,683"
2020,Georgia State,Sun Belt,6,4,0.6,4,4,0.5,33.3,31.7,0.34,-3.86,,,,"$8,454,933"
2021,Georgia State,Sun Belt,8,5,0.615,6,2,0.75,28.2,27.1,-0.83,-2.98,,,,"$9,235,632"
2022,Georgia State,Sun Belt,4,8,0.333,3,5,0.375,30,31.2,-4.71,-1.88,,,,"$9,227,781"
2017,Georgia Tech,ACC,5,6,0.455,4,4,0.5,28.1,26.5,6.38,5.93,,,,"$25,306,907"
2018,Georgia Tech,ACC,7,6,0.538,5,3,0.625,33.6,29.3,2.76,1.76,,,,"$31,058,130"
2019,Georgia Tech,ACC,3,9,0.25,2,6,0.25,16.7,32.4,-8.49,2.42,,,,"$27,200,382"
2020,Georgia Tech,ACC,3,7,0.3,3,6,0.333,23.9,36.8,-7.85,0.05,,,,"$19,854,441"
2021,Georgia Tech,ACC,3,9,0.25,2,6,0.25,24,33.5,-1.91,3.68,,,,"$26,494,520"
2022,Georgia Tech,ACC,5,7,0.417,4,4,0.5,17.2,28.4,-3.29,4.55,,,,"$35,427,186"
2019,Hawaii,MWC,10,5,0.667,5,3,0.625,33.9,31.9,0.19,-1.75,,,,"$13,520,707"
2021,Hawaii,MWC,6,7,0.462,3,5,0.375,28.8,31.4,-5.19,-3.58,,,,"$12,476,534"
2022,Hawaii,MWC,3,10,0.231,2,6,0.25,19.8,34.7,-14.31,-4.77,,,,"$13,967,574"
2017,Houston,American,7,5,0.583,5,3,0.625,28.3,23.8,2.63,-0.7,,,,"$14,303,118"
2018,Houston,American,8,5,0.615,5,3,0.625,43.9,37.2,1.18,-4.82,,17,,"$18,657,541"
2019,Houston,American,4,8,0.333,2,6,0.25,30.7,34,-0.41,3.25,,,,"$18,177,111"
2020,Houston,American,3,5,0.375,3,3,0.5,30,32,-2.84,0.53,,,,"$16,139,796"
2021,Houston,American,12,2,0.857,8,0,1,35.9,20.4,8.53,-3.26,,16,17,"$20,447,059"
2022,Houston,American,8,5,0.615,5,3,0.625,36.1,32.2,3.8,0.8,24,24,,"$20,806,184"
2017,Illinois,Big Ten,2,10,0.167,0,9,0,15.4,31.5,-7.87,5.38,,,,"$22,235,743"
2018,Illinois,Big Ten,4,8,0.333,2,7,0.222,26,39.4,-6.05,0.79,,,,"$23,434,155"
2019,Illinois,Big Ten,6,7,0.462,4,5,0.444,26.7,26.2,-0.08,0.61,,,,"$26,687,668"
2020,Illinois,Big Ten,2,6,0.25,2,6,0.25,20.1,34.9,-6.39,4.36,,,,"$21,381,419"
2021,Illinois,Big Ten,5,7,0.417,4,5,0.444,20.2,21.9,2.2,4.61,,,,"$29,035,739"
2022,Illinois,Big Ten,8,5,0.615,5,4,0.556,24.2,12.8,10.01,1.17,,14,,"$35,166,057"
2017,Indiana,Big Ten,5,7,0.417,2,7,0.222,26.8,25.3,4.74,4.9,,,,"$24,519,779"
2018,Indiana,Big Ten,5,7,0.417,2,7,0.222,26.4,29.9,2.44,5.61,,,,"$24,377,368"
2019,Indiana,Big Ten,8,5,0.615,5,4,0.556,31.8,24.4,5.79,1.49,,24,,"$29,551,780"
2020,Indiana,Big Ten,6,2,0.75,6,1,0.857,28.9,20.3,13.71,4.46,,7,12,"$23,938,872"
2021,Indiana,Big Ten,2,10,0.167,0,9,0,17.3,33.3,-4.7,8.63,17,17,,"$31,835,580"
2022,Indiana,Big Ten,4,8,0.333,2,7,0.222,23.3,33.9,-3.05,5.03,,,,"$34,163,990"
2017,Iowa,Big Ten,8,5,0.615,4,5,0.444,28.2,19.9,14.66,8.74,,25,,"$33,242,804"
2018,Iowa,Big Ten,9,4,0.692,5,4,0.556,31.2,17.8,13.14,3.29,,18,25,"$37,782,218"
2019,Iowa,Big Ten,10,3,0.769,6,3,0.667,25.8,14,14.6,4.44,20,14,15,"$41,838,056"
2020,Iowa,Big Ten,6,2,0.75,6,2,0.75,31.8,16,13.77,1.77,24,16,16,"$29,686,991"
2021,Iowa,Big Ten,10,4,0.714,7,2,0.778,23.4,19.2,9.45,5.1,18,2,23,"$49,396,133"
2022,Iowa,Big Ten,8,5,0.615,5,4,0.556,17.7,13.3,7.91,2.29,,,,"$45,560,483"
2017,Iowa State,Big 12,8,5,0.615,5,4,0.556,29.2,20.9,9.77,3.85,,14,,"$23,844,836"
2018,Iowa State,Big 12,8,5,0.615,6,3,0.667,26.8,22.9,7.78,4.01,,18,,"$27,246,224"
2019,Iowa State,Big 12,7,6,0.538,5,4,0.556,32.2,25.9,7.92,4.53,21,21,,"$29,708,542"
2020,Iowa State,Big 12,9,3,0.75,8,1,0.889,32.9,21.4,13.93,5.43,23,8,9,"$24,085,630"
2021,Iowa State,Big 12,7,6,0.538,5,4,0.556,31.3,20.5,9.08,3.16,7,7,,"$28,664,216"
2022,Iowa State,Big 12,4,8,0.333,1,8,0.111,20.2,20.3,5.71,6.37,,,,"$27,779,324"
2017,Kansas,Big 12,1,11,0.083,0,9,0,18.7,43.4,-12.35,4.23,,,,"$19,724,816"
2018,Kansas,Big 12,3,9,0.25,1,8,0.111,23.8,30,-4.86,2.14,,,,"$25,325,278"
2019,Kansas,Big 12,3,9,0.25,1,8,0.111,23.5,36.1,-5.73,3.19,,,,"$21,961,195"
2020,Kansas,Big 12,0,9,0,0,8,0,15.8,46,-13.53,7.25,,,,"$19,661,307"
2021,Kansas,Big 12,2,10,0.167,1,8,0.111,20.8,42.2,-11.12,3.47,,,,"$21,282,124"
2022,Kansas,Big 12,6,7,0.462,3,6,0.333,35.6,35.5,6.27,6.58,,19,,"$28,183,467"
2017,Kansas State,Big 12,8,5,0.615,5,4,0.556,32.3,25.2,5.84,1.07,20,18,,"$19,996,794"
2018,Kansas State,Big 12,5,7,0.417,3,6,0.333,22.5,25.4,1.39,3.47,,,,"$28,123,254"
